Metadata,Pandeia
,
Null,null
NIRCAM,nircam
NIRCam Imaging,_imaging
SHORT,sw
LONG,lw
NIRSPEC,nirspec
N/A,None
F070W,f070w
F090W,f090w
F115W,f115w
F140M,f140m
F150W,f150w
F150W2,f150w2
F162M,f162m
F164N,f164n
F182M,f182m
F187N,f187n
F200W,f200w
F210M,f210m
F212N,f212n
F250M,f250m
F277W,f277w
F300M,f300m
F322W2,f322w2
F323N,f323n
F335M,f335m
F356W,f356w
F360M,f360m
F405N,f405n
F410M,f410m
F430M,f430m
F444W,f444w
F460M,f460m
F466N,f466n
F470N,f470n
F480M,f480m
NIRSpec IFU Spectroscopy,_integral_field_spectrograph
F100LP,f100lp
F110W,f110w
